iter	MultiClass
0	0.6787563051
1	0.6678213775
2	0.6551806366
3	0.645561849
4	0.639637269
5	0.6290514668
6	0.6166223978
7	0.6099095034
8	0.5989283687
9	0.5889180565
10	0.5802799219
11	0.5718150104
12	0.5635627878
13	0.5549537061
14	0.5471562572
15	0.539555937
16	0.5315073166
17	0.5248468679
18	0.5238487616
19	0.5182946401
20	0.5113246838
21	0.505131925
22	0.4979537607
23	0.4909688836
24	0.4846966613
25	0.4785595965
26	0.472494362
27	0.4666360943
28	0.4614031273
29	0.4557951103
30	0.4524339583
31	0.4449568318
32	0.439192106
33	0.4340191106
34	0.4294307654
35	0.4249383299
36	0.4191319466
37	0.414388144
38	0.4092804476
39	0.4047287309
40	0.3982944198
41	0.3930932738
42	0.388768534
43	0.3849931084
44	0.3812909981
45	0.3772584191
46	0.3737000389
47	0.3681566538
48	0.3643111494
49	0.3605957503
50	0.3586191802
51	0.3521686904
52	0.3471151054
53	0.344982631
54	0.340553876
55	0.3345873174
56	0.3307297409
57	0.3268497127
58	0.3231738108
59	0.319181402
60	0.3148568836
61	0.31102829
62	0.3078012634
63	0.3043408953
64	0.3010747792
65	0.2961231549
66	0.2934943213
67	0.2906173945
68	0.2880020382
69	0.2854307629
70	0.282496351
71	0.2788569895
72	0.2760085314
73	0.2729188918
74	0.2694219291
75	0.266880398
76	0.262762097
77	0.2594733198
78	0.2562539615
79	0.2541802698
80	0.2516463541
81	0.249655001
82	0.2474217592
83	0.243760394
84	0.2418196754
85	0.2401672005
86	0.2380769476
87	0.2362630003
88	0.2341182277
89	0.2317528673
90	0.2291662402
91	0.227475338
92	0.2242625471
93	0.221123573
94	0.2187311897
95	0.2157171259
96	0.2141897458
97	0.2121179612
98	0.2092484245
99	0.2069782919
100	0.204221682
101	0.2020281918
102	0.1993790073
103	0.1973022917
104	0.195941541
105	0.1934207869
106	0.1909539018
107	0.1885393687
108	0.1861757219
109	0.1838615451
110	0.1815954692
111	0.1793761706
112	0.1776094779
113	0.1758770989
114	0.1737729745
115	0.1717112578
116	0.1702995504
117	0.1683062335
118	0.1663523859
119	0.1644369648
120	0.1629327086
121	0.1610833146
122	0.1597950176
123	0.1585248411
124	0.1567584627
125	0.155355812
126	0.1536490102
127	0.1524681296
128	0.1508147205
129	0.1491920725
130	0.1475994146
131	0.1460359995
132	0.1449651709
133	0.1439110655
134	0.1428492762
135	0.14136989
136	0.1399170004
137	0.1389257626
138	0.138039848
139	0.1369251173
140	0.135814618
141	0.1344574977
142	0.1335134785
143	0.1321956885
144	0.1309005805
145	0.1300183547
146	0.1287598406
147	0.1278891907
148	0.1266661041
149	0.1258176984
150	0.1246287318
151	0.123806502
152	0.1229895637
153	0.1220672623
154	0.120938796
155	0.1198287147
156	0.11895787
157	0.1178794722
158	0.1170194923
159	0.1159717741
160	0.1149406624
161	0.113925795
162	0.1129268191
163	0.1121644803
164	0.1111925794
165	0.1102356513
166	0.1092933774
167	0.1086374727
168	0.1077191035
169	0.1068145819
170	0.1061037728
171	0.1052231703
172	0.1045508745
173	0.103944612
174	0.1033457032
175	0.1025048756
176	0.1016763147
177	0.100859772
178	0.1000550048
179	0.09944073871
180	0.09888636548
181	0.09810926983
182	0.0973431711
183	0.09658785237
184	0.09584310205
185	0.09532375082
186	0.0945962809
187	0.09387884208
188	0.09338764589
189	0.09289206761
190	0.09244386145
191	0.09175495677
192	0.09127498907
193	0.0906015949
194	0.08993721703
195	0.08940616264
196	0.08888234826
197	0.08824045799
198	0.08760700091
199	0.08698182141
200	0.08654678775
201	0.08611514564
202	0.08550885457
203	0.08491035135
204	0.08449341707
205	0.08401934027
206	0.08343945781
207	0.0828668934
208	0.08230151684
209	0.08190944502
210	0.08146169445
211	0.08091348722
212	0.08037204351
213	0.07999503697
214	0.07962117035
215	0.07909517774
216	0.07867617029
217	0.07816150869
218	0.07765303796
219	0.07729864561
220	0.07694732322
221	0.07645300774
222	0.0761903617
223	0.07570474538
224	0.07522483734
225	0.07475054241
226	0.07428176743
227	0.07381842124
228	0.07336041455
229	0.07304719926
230	0.072699079
231	0.0723911819
232	0.07194907313
233	0.0717121951
234	0.07127754239
235	0.07084777193
236	0.07054858101
237	0.0701268143
238	0.06970972624
239	0.06929724291
240	0.06896756027
241	0.06856313501
242	0.06816311703
243	0.0678894817
244	0.0674966377
245	0.06710802314
246	0.06672357299
247	0.06642892105
248	0.06605162173
249	0.0656783153
250	0.06530894139
251	0.06501670637
